liver	Network of Cancer Genes (NCG4.0)	65985,53616,392636,11214,213,273,375248,324,8289,57492,196528,421,80162,472,545,8312,29994,2186,10902,9577,79946,1029,23155,25927,64708,1362,1390,114788,1460,1499,8452,23191,23258,29958,1657,29940,23741,9844,26059,54206,10144,120114,2550,2562,2694,54676,283464,10021,8366,6927,285313,3572,3660,3699,3717,23254,202559,23351,9516,339291,4053,256471,4337,92140,727897,284086,4780,22861,4857,4915,133060,5099,56136,5142,57449,118672,5763,5894,9904,5982,6197,219285,85508,6503,222962,57709,200162,10963,55773,7157,8295,7248,130507,29761,83844,11059,7516,7547,7769,147741,
colorectal	Network of Cancer Genes (NCG4.0)	19,8647,176,51703,8728,11086,170692,80070,57188,105,9590,9472,207,238,324,9639,23250,57130,344905,607,673,55799,135228,22918,10752,64084,152330,1281,27151,114788,1499,1523,57628,57453,1838,2033,2042,2051,2074,60412,2070,2157,84140,54540,2201,55294,2318,2335,2588,219770,2737,2778,139378,57512,2894,2911,2977,1404,3009,3486,283284,8471,3682,8997,56479,23247,340533,3845,319101,284217,392399,59352,4008,4131,4133,6416,5609,23542,8888,4193,7681,4292,4313,4436,2956,84700,80179,55930,89795,4763,4846,22854,23225,143503,5027,27328,9752,5290,5295,5316,151056,5336,56979,5587,158471,5728,5789,5802,10076,5924,5979,79596,6091,862,55800,223117,54436,50944,55356,2030,4087,4088,4089,6525,6653,6431,23166,401135,6873,50945,256536,6934,7048,7053,7074,54106,63923,7157,143630,51366,115426,57578,7385,55237,143187,9202,79973,25925,
breast	Network of Cancer Genes (NCG4.0)	21,8647,11194,34,9744,91,8038,109,2334,116986,202,10142,207,208,267,324,10297,187,10564,9938,8289,57492,196528,435,171023,1822,5205,92552,577,8314,53335,633,79444,673,672,675,149563,65250,778,841,79820,865,23624,150275,114800,886,887,595,896,1232,1234,995,990,999,28316,51755,1027,1029,5199,1107,26038,1114,55584,56548,23152,1182,728276,1240,26504,5067,27255,1301,1310,1277,1294,27151,64478,79848,10664,9811,1499,51167,1543,1627,138009,1663,79947,22982,1742,9231,92737,1798,64180,1806,79659,80258,1956,8667,26610,2033,57724,2044,2047,2064,2065,2066,2113,2120,55770,2132,346007,83641,165215,114907,55294,2205,83416,2243,2316,2317,2318,2322,2299,158326,10818,84075,2549,11227,442117,2625,348654,26088,2735,2737,2778,2803,2854,53831,2874,2887,80000,2906,2911,2913,2918,2932,2934,79807,9330,2987,79441,9759,3069,8347,6927,3200,7087,3552,3553,83729,3656,51135,83737,3702,3710,3717,51528,93107,10765,3791,9817,57614,9928,10749,55582,56062,3841,3845,83999,284217,55214,23284,987,57554,9208,4099,57692,158056,6416,4214,9175,1326,23162,23005,116511,4159,84539,7681,4302,4331,27136,4361,124540,23281,94025,140453,23077,4619,4626,4627,340156,84700,64005,259232,23054,9611,4751,4763,114548,347736,4851,4887,4889,10718,203447,4916,55746,8021,441669,8590,9381,286530,79728,164091,83666,55742,5079,55193,56121,22984,9601,55022,5288,5290,5294,5295,10343,5314,5338,84725,22843,151742,5506,5565,5573,5579,5593,8899,5631,7916,8643,5728,5737,26191,5789,5795,65059,9462,158158,5925,54502,51634,5979,5990,23179,121268,9699,10535,55182,6098,6101,94137,6103,57096,861,862,6262,60485,8796,54437,22928,641977,10801,29072,23451,126669,23387,51804,123041,23446,6530,6531,6547,4089,6602,25992,8723,6653,6654,6667,3431,8405,6709,9754,6794,55959,23334,10579,6871,6872,79718,50945,6926,6996,221400,7007,7038,7045,7059,8563,7069,8914,7094,7099,114908,164656,7157,7188,81559,4591,11078,7327,51366,7399,10600,11274,27005,57646,57663,79674,79726,29062,25937,7498,165904,677,55734,23503,7750,148266,9726,79759,136051,90576,8233,
pancreas	Network of Cancer Genes (NCG4.0)	10347,10057,84448,116285,91,80070,11215,11214,10142,207,208,7840,324,187,8289,196528,435,472,57194,546,92552,577,79444,673,675,26005,389197,781,29775,865,23624,57545,51134,886,887,1232,1234,995,9578,55561,1008,51755,1029,1183,6249,1240,53942,8506,26047,1289,1496,1499,23191,117154,1616,10395,9940,1741,1770,92737,1794,1804,133584,1956,8667,2006,26610,2033,80314,2044,2047,2065,2066,2113,2125,55770,149371,23086,2132,346007,2157,339145,2196,114907,55294,2205,2322,56776,91010,10818,197258,114805,26058,2737,29998,2778,283383,53831,2887,2892,2911,2913,2918,2932,2977,25988,83872,3482,285313,3552,3553,3561,51135,83737,3702,3710,9920,3791,9817,23251,85452,55582,54758,3845,83999,22859,23284,145581,54674,80059,23499,4099,4105,6416,4214,23162,116511,4159,84539,4221,4224,7681,4302,4331,124540,23281,94025,4620,4622,127294,259232,4751,4763,4780,114548,4887,4889,9542,10718,343406,122742,341350,286530,83666,5079,55193,65217,27253,54510,5046,10016,9601,23024,375033,23469,5288,5290,5294,5295,5314,151742,5506,80243,5565,5573,5579,5582,5728,5737,5789,7837,166824,5979,121268,388591,6098,100287887,862,55511,60485,6331,54437,10801,23451,119559,6614,9122,6511,55117,6530,26050,4089,6597,6651,114815,6654,6660,8405,84620,6794,9096,50945,6996,7048,7099,160418,7143,7157,7173,7188,81559,4591,7249,219743,51366,440279,7399,10600,11274,27005,57663,27340,7450,84128,7455,23619,7750,346157,27332,
chronic lymphocytic leukemia	Network of Cancer Genes (NCG4.0)	340273,25890,340485,2515,204,9472,259173,79822,54848,171023,472,135152,29086,658,673,317761,894,948,925,64072,1007,10136,56853,9859,1106,2055,4849,84570,114788,10663,1549,284541,1654,10260,27123,1756,9732,1804,1837,23167,1959,79071,57724,2043,2047,2162,81558,221061,120114,2263,23768,401024,56884,8880,10690,9615,2779,56261,2913,3101,83872,54768,53833,7881,55818,57535,3811,89857,3881,3996,23266,23284,53353,338645,57692,4155,90411,161357,23269,4583,4615,81614,57486,4851,10482,138881,26245,283310,27328,56097,27445,9659,1912,5296,375775,79983,51426,25913,55607,56979,5618,8842,80209,137902,166824,10741,79785,23180,9699,7844,6091,6098,25914,6262,132320,11280,22929,55209,23451,6476,80143,55972,29988,51151,57282,10599,10592,51375,132671,10251,6426,23345,171024,6860,7097,160335,7157,7216,140803,59341,128553,11338,10720,84747,440279,137970,285175,50853,9730,7450,84219,7514,7587,9849,
endometrium	Network of Cancer Genes (NCG4.0)	10060,1108,260293,55294,2263,221895,4216,4292,4436,5290,5518,5728,8405,23512,7157,
gastric	Network of Cancer Genes (NCG4.0)	10060,92,338,8289,495,577,199920,57018,999,1272,114788,1499,51163,1756,56171,8661,23136,2064,2074,79633,56776,84075,3354,3815,53353,2847,56339,81309,119749,5156,5290,5314,5387,5728,5764,6014,6146,9723,57619,494119,6701,6708,7157,7272,7273,140831,23140,
prostate	Network of Cancer Genes (NCG4.0)	6059,22985,81616,2181,91,8749,10142,207,64400,247,348094,324,187,367,116984,8289,472,92552,577,79444,673,124583,865,23624,886,887,1232,1234,10694,913,995,51755,1027,1029,9859,1105,26038,1184,63967,1240,1258,23019,1302,1289,54504,1378,1499,8452,51164,1655,1716,23405,63951,92737,57572,1956,8667,2005,26610,2044,2045,2047,2065,2066,2078,2113,2115,2118,2119,55770,2132,346007,8603,114907,55294,2205,152273,63979,2318,2322,3169,341640,10818,2693,2737,2778,10082,53831,2887,2911,2913,2915,2918,2932,9563,9734,9709,283651,3181,3265,3270,3306,3309,3417,8809,3552,3553,51135,83737,3702,3710,3716,3786,57582,7403,3791,9817,23379,55582,1316,3817,3845,83999,23284,10489,4099,4214,9448,23162,116511,10747,4159,84539,9968,10988,64745,8972,7681,4302,4331,124540,10903,94025,84700,53904,55226,65065,9611,10397,4744,4751,4763,81614,114548,50508,261734,4887,4889,10718,4969,219437,4998,286530,83666,5079,55193,65217,22984,9601,5288,5290,5294,5295,5314,11128,151742,5506,5521,7799,5565,5573,5579,5584,5728,5737,5925,5979,64326,121268,138065,6098,862,60485,11280,10801,85414,388662,6530,6654,200162,8405,6708,9901,9295,6794,50945,6996,56159,80731,7099,53346,7113,7143,7157,7188,81559,4591,84675,79861,63893,51366,10600,11274,27005,57663,55230,55135,463,7750,55628,152687,9726,
lung	Network of Cancer Genes (NCG4.0)	55324,91,9510,107,108,114,10142,207,238,324,187,472,92552,577,8314,9774,79444,673,140834,80304,865,23624,8030,886,887,595,1232,1234,972,995,1008,51755,1029,9425,22995,11113,9076,1240,202333,26047,1301,169044,1284,1417,1499,1546,1562,22982,92737,1830,667,56940,1956,8667,1993,26610,27436,2019,387712,2042,2044,2047,2064,2065,2066,2113,55770,2132,346007,7430,286499,57700,114907,55294,2205,26998,2263,2261,2264,2322,2304,80020,10818,2617,2737,2778,139378,53831,2887,2899,2911,2913,2918,2932,348980,8924,3105,3265,54768,22858,3552,3553,3624,51135,83737,3702,3710,3747,3782,3791,9817,8570,547,55605,55582,3799,28999,3845,83999,64175,84894,23284,121227,53353,80131,120892,4058,4099,4214,23162,116511,4159,84539,4193,56955,7681,4302,4331,124540,9112,9219,94025,4600,4609,4685,4751,91754,4763,4780,7080,22871,114548,4851,4887,4889,4893,10718,4914,4916,4926,390265,391189,127077,390054,219965,390166,286530,5063,60676,83666,23598,5079,5153,56034,5156,9601,5173,5288,5290,5294,5295,5314,57088,134359,151742,5506,56979,5565,5573,5579,10594,5728,5737,5789,11228,5925,5979,121268,9699,6098,862,6263,23314,60485,49855,6385,10801,53358,10568,10991,6530,9353,57152,4089,6597,6654,6657,80309,391253,8405,6710,6794,203328,6875,9096,50945,6996,7015,83741,10342,84076,7099,121256,79089,63923,7157,7170,7188,81559,4591,146057,7273,7278,197131,51366,10600,11274,27005,57663,7405,7434,51729,256764,7512,9877,57683,7750,51364,25925,9745,84527,7620,374928,
lymphoma	Network of Cancer Genes (NCG4.0)	64240,1636,60,102,81794,57188,10270,238,23141,10930,364,8289,471,9914,567,8915,596,10017,613,330,84446,694,811,23261,84433,833,896,10693,29126,948,965,923,970,973,974,996,4261,1213,8218,1373,1387,285464,9696,1488,80169,114757,126410,221955,8642,55794,1654,1729,11083,1806,1825,1834,1844,1849,1850,1852,1984,2033,55914,2120,2146,55199,355,80204,79791,2261,85462,56776,3170,2308,341640,100288801,10841,2554,2734,10672,9721,2874,2875,2885,79977,116444,283464,132243,3035,3036,3006,3008,8332,8347,8348,8358,3105,3106,3146,6928,3192,3270,388697,3399,10320,3586,3558,3702,126306,3768,84678,23095,10365,89857,387264,439915,4041,23639,127255,129530,139081,10892,116931,100271849,4208,4478,55613,4609,4615,4627,64005,4645,9172,4665,9611,4703,4792,10392,4851,4853,64943,8481,127068,391114,286530,26986,5042,5049,139135,54510,56146,56144,56130,27445,115294,9159,80380,56034,27315,5292,255189,5339,153478,5378,5452,5525,9701,639,84074,53917,5900,26953,221002,54715,54502,5966,5979,57529,6002,387,116028,57674,9294,27164,5265,6446,89790,153328,3177,146167,28234,84189,6594,6597,92017,8651,6665,30812,92521,8406,6428,26039,6774,6778,56241,6850,6854,8867,79718,343521,339488,10342,7093,30012,53346,55754,7124,7128,8764,608,7157,7170,7171,284355,80305,7187,8848,118491,51807,203068,7319,56886,8633,137970,128434,80737,54464,57567,25925,91603,55055,
