NS1 Mediated Effects on Host Pathways	Reactome Pathway	10898,5610,8106,
TNF signaling 2	Reactome Pathway	6868,841,8772,8737,7124,7132,8717,7186,
Intrinsic Pathway  5 and GM-CSF signaling	Reactome Pathway	2,708,2159,2160,2161,2147,2157,2158,2811,2812,2814,2815,3818,3827,5547,710,7450,
Glutathione synthesis and recycling  Activation of AMPA Receptors and Synaptic Plasticity	Reactome Pathway	55748,2729,2730,79017,2678,728441,2687,124975,2686,2937,26873,
Post-Elongation Processing of Intron-Containing pre-mRNA  aldehydes and H2O2 by PAOs	Reactome Pathway	10189,51362,10978,29894,53981,51692,79869,1477,1478,1479,9785,4116,4686,22916,11051,8106,10914,51585,9939,10921,10250,6426,9295,6427,6428,6429,6430,6431,6432,8683,7307,11338,65109,
Activation of the mRNA upon binding of the cap-binding complex and eIFs  and subsequent binding to 43S	Reactome Pathway	1964,1965,8894,1968,8661,8662,8663,8664,3646,8665,8666,8667,8668,8669,27335,1973,1974,1975,1977,1978,1981,7458,2197,26986,6204,6205,6206,6207,6208,6209,6210,6217,6218,6222,6223,6187,6224,6227,6228,6229,6230,6231,6232,6233,6234,6235,6188,6189,6191,6192,6193,6194,6201,6202,6203,3921,
Formation of tubulin folding intermediates by CCT/TriC  and subsequently	Reactome Pathway	10576,7203,10575,22948,908,10574,10694,6950,7846,10376,84790,7278,7277,81027,7280,347733,10381,10382,10383,84617,
Base-free sugar-phosphate removal via the single-nucleotide replacement pathway  AP Site Formation	Reactome Pathway	328,10309,8930,4350,4595,4913,4968,5423,23583,6996,
Antigen activates B Cell Receptor (BCR) leading to generation of second messengers  assembly and peptide loading of class I MHC	Reactome Pathway	640,29760,695,801,867,868,930,973,974,27071,2534,2885,3495,3507,28378,3514,28299,28908,3537,3538,3539,3542,28834,3708,3709,3710,4067,4690,84876,118788,5293,5295,5335,5336,30011,6464,6654,6725,6786,6850,7220,7409,
Retrograde neurotrophin signalling  ATP synthesis by chemiosmotic coupling	Reactome Pathway	160,161,163,1173,1175,1211,10126,1759,1785,26052,4803,4914,6456,
Transport of the SLBP independent Mature mRNA  bile salts and organic acids	Reactome Pathway	8086,10189,1977,4686,22916,57122,55746,9972,9631,23279,23511,23165,23225,8021,129401,79023,348995,10762,53371,23636,79902,4927,9688,4928,9818,11097,10482,9883,8480,5903,81929,7175,
Sphingolipid de novo biosynthesis  di- and tri-carboxylate transporters	Reactome Pathway	125981,340485,55331,10715,29956,204219,79603,91012,253782,10087,1455,8560,123099,2531,5007,8611,8613,8612,151742,5587,259230,166929,8879,81537,130367,8877,56848,10558,9517,55304,9218,9217,
Zinc influx into cells by the SLC39 gene family  FZD5 and ROR2	Reactome Pathway	27173,57181,23516,29986,29985,55630,283375,25800,7922,64116,
VEGF binds to VEGFR leading to receptor dimerization  glutamate binding and activation	Reactome Pathway	2277,2321,2324,3791,5228,7422,7423,7424,
Pausing and recovery of HIV elongation  hypusine formation and arylsulfatase activation	Reactome Pathway	904,905,1025,9150,8178,2962,2963,7469,25920,51497,7936,5430,5431,5432,5433,5434,5435,5436,5437,5438,5439,5440,5441,6749,11198,6827,6829,6917,6921,6923,6924,
Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide  implicated in retinal degradation	Reactome Pathway	56052,84920,144245,440138,79087,79868,199857,85365,10195,29880,29929,79053,79796,55907,5476,79947,22845,57171,1798,8813,8818,54344,2673,9945,2720,29926,29925,10020,64841,9526,4351,4597,140838,54187,4758,4759,10825,129807,80896,5238,5372,5373,91869,26503,10559,79644,6482,6483,6487,6484,8869,10402,6480,84620,55808,10610,256435,27090,81849,30815,6489,8128,51046,7903,29906,338596,6675,
Synthesis of Leukotrienes (LT) and Eoxins (EX)  IP	Reactome Pathway	4363,246,240,241,1579,284541,1580,57834,8529,126410,4051,11283,1800,64174,2678,2687,4048,4056,9261,22949,
O-linked glycosylation  leucine rich repeat containing receptor (NLR) signaling pathways	Reactome Pathway	9510,81794,81792,11093,140766,170689,170690,170691,170692,171019,9509,80070,9508,9507,11096,11174,11173,11095,56999,92949,9719,57188,54507,339366,145173,10678,10331,79369,84002,192134,93010,374907,84752,146712,9334,9331,56913,29071,5199,2589,55568,63917,79695,114805,79623,117248,57452,374378,2590,2591,8693,11227,11226,51809,26290,50614,168391,442117,2650,9245,51301,644378,140687,4582,10071,56667,143662,94025,140453,283463,4583,200958,394263,4584,57876,4585,4586,727897,4588,4589,118430,23275,157869,9037,54437,10418,10417,23145,6482,6483,6487,6484,6480,10610,256435,27090,7057,7058,55901,79875,221981,80731,64409,
