GO:0000002~mitochondrial genome maintenance	4976,291,1890,9361,4358,4205,55186,92667,84275,80119,63875,10000,
GO:0000003~reproduction	8511,
GO:0000009~alpha-1,6-mannosyltransferase activity	79087,
GO:0000010~trans-hexaprenyltranstransferase activity	23590,57107,
GO:0000011~vacuole inheritance	64145,
GO:0000012~single strand break repair	7141,7515,3981,54840,200558,23411,55775,
GO:0000014~single-stranded DNA endodeoxyribonuclease activity	2067,4361,6419,10111,64421,5932,
GO:0000015~phosphopyruvate hydratase complex	387712,2023,2026,2027,
GO:0000016~lactase activity	3938,
GO:0000018~regulation of DNA recombination	3575,3838,3836,10189,9984,56916,
GO:0000019~regulation of mitotic recombination	4361,10111,
GO:0000022~mitotic spindle elongation	9055,9493,
GO:0000023~maltose metabolic process	8972,2548,2595,
GO:0000026~alpha-1,2-mannosyltransferase activity	80235,79796,
GO:0000027~ribosomal large subunit assembly	692312,6134,6136,6122,4839,6125,6147,6135,6152,6128,23246,23212,55299,6123,140801,55052,84154,80135,56342,23195,54475,29997,161394,51187,51154,65003,
GO:0000028~ribosomal small subunit assembly	102724159,26284,6218,3921,6223,6232,6193,6204,6208,6209,6234,64963,5822,51065,93144,91695,51081,27341,
GO:0000030~mannosyltransferase activity	644974,23333,200810,283417,554236,349152,147991,286148,80235,9488,56052,79087,79796,55650,10585,
GO:0000032~cell wall mannoprotein biosynthetic process	4351,
GO:0000033~alpha-1,3-mannosyltransferase activity	10195,79053,85365,
GO:0000035~acyl binding	51042,4706,2779,
GO:0000036~ACP phosphopantetheine attachment site binding involved in fatty acid biosynthetic process	51042,4706,
GO:0000038~very long-chain fatty acid metabolic process	30,5828,10965,3295,8529,51,641371,122970,23205,66002,225,28965,10998,
GO:0000042~protein targeting to Golgi	653489,767557,727851,400966,729857,5870,2803,9321,55690,285190,9648,90196,23299,6653,2800,79571,10133,84220,83452,
GO:0000045~autophagosome assembly	345611,643246,441925,9776,9140,11337,10533,5663,7879,11345,5861,165324,8678,137886,23130,285973,55054,57535,22863,79065,84971,23241,23673,58476,89849,5289,9821,115201,94241,55102,84938,60673,83460,440738,23766,55626,81631,83452,23710,9474,84557,64422,51715,171024,29979,55968,23192,26100,
GO:0000049~tRNA binding	129450,7015,11260,26024,55687,10667,6741,6165,3508,3376,16,833,5917,8565,4141,60678,1915,54888,9255,24138,8846,3735,348180,124454,57505,55157,81627,60487,90353,91607,79693,118672,93587,221078,91801,51095,83939,55226,63899,57510,51091,55699,54974,55621,57604,440275,4234,2193,51067,
GO:0000050~urea cycle	5009,445,435,383,790,1373,1050,384,162417,83884,57407,10166,
GO:0000052~citrulline metabolic process	23576,23564,445,
GO:0000053~argininosuccinate metabolic process	445,
GO:0000054~ribosomal subunit export from nucleus	7514,3692,6059,
GO:0000055~ribosomal large subunit export from nucleus	51042,7514,5901,23212,51068,4927,55153,29997,
GO:0000056~ribosomal small subunit export from nucleus	7514,5901,6209,84946,4927,
GO:0000060~protein import into nucleus, translocation	406,3843,30000,26953,6496,7040,7124,3458,602,4504,4792,207,4991,4985,604,8644,10952,10204,5901,23649,2646,3837,9702,137735,79711,3842,11331,55696,
GO:0000062~fatty-acyl-CoA binding	11332,10455,8435,6342,33,6646,3155,3030,4329,91452,414149,79777,2639,84320,64746,
GO:0000064~L-ornithine transmembrane transporter activity	153328,283130,83884,10166,
GO:0000066~mitochondrial ornithine transport	153328,283130,83884,10166,
GO:0000070~mitotic sister chromatid segregation	10403,9183,7756,9184,11130,4751,5347,4085,9700,8243,84861,9702,146909,285753,25936,10615,3833,51203,79980,10051,3834,54617,90417,
GO:0000075~cell cycle checkpoint	2189,9134,5925,901,90381,5932,64858,51776,
GO:0000076~DNA replication checkpoint	8318,5884,1763,144715,5883,990,54962,81620,
