GO:0000015~phosphopyruvate hydratase complex	387712,2023,2026,2027,
GO:0000109~nucleotide-excision repair complex	2067,5424,1161,2072,
GO:0000110~nucleotide-excision repair factor 1 complex	2067,7507,2072,
GO:0000111~nucleotide-excision repair factor 2 complex	7508,
GO:0000118~histone deacetylase complex	10284,8841,6907,7764,9611,8819,9219,6886,23468,8204,3094,9759,2122,3065,91748,9541,51564,83933,51317,79885,55809,90665,55869,79718,84215,116092,149934,79685,473,8932,10013,9734,23314,10014,9612,10629,
GO:0000120~RNA polymerase I transcription factor complex	10849,9013,9015,
GO:0000123~histone acetyltransferase complex	151050,8473,11143,3054,11091,2033,55250,79960,284058,9767,1387,26610,10445,51230,84148,54934,55140,23338,55683,51147,
GO:0000124~SAGA complex	8464,10474,170067,56970,6883,6880,100130302,55578,117143,51616,56943,23326,
GO:0000125~PCAF complex	6871,6881,6880,8850,8295,
GO:0000126~transcription factor TFIIIB complex	55814,2972,
GO:0000127~transcription factor TFIIIC complex	2975,2976,112495,9329,9328,9330,
GO:0000137~Golgi cis cisterna	2801,3996,51062,63941,9528,55512,
GO:0000138~Golgi trans cisterna	9179,2683,259230,283987,9528,
GO:0000139~Golgi membrane	345611,152586,9743,253012,100528030,9197,10059,7940,27333,10494,9166,5537,23316,11316,8943,9570,8675,102,10423,9919,23243,10282,54741,6836,2916,7098,29906,10652,6892,9867,51046,9334,51360,11041,9486,11342,27095,11015,9265,164,10228,8707,10488,8534,9394,9718,10905,8460,8703,8702,8459,8615,8704,9917,2218,863,9914,10016,955,8674,9554,8706,8906,79090,26229,9871,26035,22872,22883,11337,10675,10313,9527,10125,8658,9217,23557,9245,10175,9215,10802,10427,9342,9609,9348,10841,8705,2157,1956,3906,5265,4893,3265,5155,7039,3630,3105,3136,3122,3118,3117,3123,3119,5154,972,3115,1571,3120,5627,6010,1604,5045,6399,5552,6513,2153,4684,3133,3126,966,2683,2348,374,913,6480,2697,3135,22926,7132,3113,5870,2525,5007,2526,10945,4245,10715,4846,3134,2633,2634,3242,4121,11014,9276,682,540,403,373,6720,3460,1523,5584,2890,2475,27065,9619,4905,4851,5909,372,7109,1453,23760,3998,408,4122,10972,5663,5664,1785,858,1182,1184,2528,3340,8509,27236,1315,1314,1075,9632,2013,8775,6396,8905,859,79585,11345,998,4218,5862,10890,51552,377,390,338596,567,22818,1174,5861,5879,7355,10559,3125,7110,91949,375,5310,27032,2583,1294,2650,857,4853,3382,2572,2802,2801,55697,4248,4249,4247,2590,2589,162,2527,2529,6482,6487,6484,22937,6721,5871,8692,11070,10960,7851,6811,3601,1201,5337,2803,6093,7855,10955,8452,1258,9363,2591,8720,22796,2804,54734,4926,10959,6009,1718,10484,10483,9267,9321,27314,1260,2131,4124,7357,6483,54972,401647,3127,3106,79158,146664,170384,442117,57589,59349,55291,375056,347517,55062,340485,79694,644378,57584,79971,149175,79689,84699,205717,51435,201475,23258,57414,55676,84750,374378,254263,57085,152559,51313,25849,221477,84752,93492,192134,140687,127845,337876,83723,11046,58480,83539,54947,51363,9653,9469,201232,79608,374907,11227,51809,55568,122553,259230,22856,64131,23673,92979,26086,114805,23085,54503,23390,126003,1262,340481,79695,90410,221938,100505381,57531,79586,79932,222537,92126,10347,2651,284254,222865,117248,120071,57452,8693,285533,93380,26301,55454,84364,10164,113189,11226,148789,63917,256435,205428,166012,79888,93010,54756,258010,124872,64326,90411,192683,347734,9950,149111,153339,56928,55790,92370,148327,123720,9382,84932,56994,170575,23461,51062,117584,55624,6489,8128,7903,8729,9827,9896,9695,399687,6653,10342,2734,441400,2132,3107,84912,56937,30815,57222,55343,143187,64285,79571,10133,64841,54941,29071,79623,93210,113829,84725,83548,89866,84620,126792,140873,90161,84342,57172,130340,115362,115361,114783,83696,64711,84679,9266,4855,2852,10198,9088,11261,9516,6456,9514,64689,9746,55974,55032,80762,11235,79135,81849,54732,55080,26056,9528,8907,2530,84002,23057,79369,80310,23563,4166,83452,2635,81876,81562,64132,81622,51000,64377,8548,80351,64746,64579,55204,64084,27090,152007,79903,80142,26003,55298,25839,79147,65977,51643,57704,50614,10113,57120,10058,26286,50640,50515,135152,56681,57134,54106,51311,56034,55501,51560,11311,56900,56894,56913,56548,55808,22908,54602,55638,55627,55625,54814,26290,55512,10678,51304,51284,51272,9478,9218,51301,51196,51765,51226,54480,57574,27087,53407,26958,5298,25834,1522,11285,553115,9331,27315,27128,60592,10610,84572,28988,25789,11253,29940,51693,25837,54499,11320,4854,51146,8869,10466,22870,23162,11282,11237,9583,10690,10402,9956,9445,51399,10331,10329,10090,10317,23443,23315,22862,200576,10396,57511,51070,51100,51014,51026,23423,9980,9435,58485,8708,9951,9953,9955,22820,10564,10565,10053,11196,
